epoch,loss
1,0.2533858057126226
2,0.2351175197087257
3,0.2334928573238048
4,0.2344354516844975
5,0.2215442181575911
6,0.2129642219823811
7,0.2049285858987348
8,0.2047469273739652
9,0.1992716844315114
10,0.1886070731718078
11,0.1930716751003454
12,0.1792512681821118
13,0.1799927561915674
14,0.1826014844295771
15,0.1672520809199499
16,0.1611826596818422
17,0.1619414441405313
18,0.1614332777179277
19,0.1585193122092914
20,0.1531736901390694
21,0.1478347335481949
22,0.147887339204432
23,0.142676885464328
24,0.138538159084002
25,0.1350321799605024
26,0.1367400420365833
27,0.1231382169462593
28,0.1264830832424842
29,0.1224961584073163
30,0.1194217023347677
31,0.1164949598313555
32,0.1143215200366827
33,0.1090782654247147
34,0.1078899785537611
35,0.1054713938665013
36,0.1053419869039723
37,0.1042246195991991
38,0.0975232569154778
39,0.0980374659650881
40,0.0991490044494862
41,0.0962984354710096
42,0.0894025654896445
43,0.0875969044532877
44,0.0873912020766805
45,0.0853211768045138
46,0.0813013238596763
47,0.0882529043794974
48,0.0798657988179696
49,0.0757486611648863
50,0.0770432815331185
51,0.0736161194476685
52,0.0705888463670144
53,0.0708317217295584
54,0.0699059132103745
55,0.0658753479135189
56,0.0642679465581247
57,0.0616935747215458
58,0.0618351935390603
59,0.0614568671495046
60,0.0601871053931181
61,0.0599530375389595
62,0.0597232514909531
63,0.0559695493117004
64,0.0554234828899353
65,0.0520650144305683
66,0.0539569579020672
67,0.0523377106425613
68,0.0493079633948949
69,0.0502812835524086
70,0.0487778359000744
71,0.0483531030962471
72,0.0461870690866598
73,0.0463620600218814
74,0.0451014536053766
75,0.0432492557714284
76,0.0434315723271326
77,0.0407982845749271
78,0.0408131549698061
79,0.0395976350699798
80,0.03787769952038
81,0.0367661074876947
82,0.0369527168027143
83,0.0353916771686911
84,0.0365780339559738
85,0.0344331236740228
86,0.0332697809212785
87,0.0310031519250266
88,0.0301747723701575
89,0.0307933130750631
90,0.0312459825923695
91,0.0287489338498194
92,0.0293762830128385
93,0.0279592864547594
94,0.0279961244760839
95,0.0277988387468701
96,0.0264447074192079
97,0.0259783980947378
98,0.0244049491929516
99,0.0241170915381121
